geo_type,region,transportation_type,alternative_name,sub-region,country,date,count
city,Wichita,walking,NA,Kansas,United States,2020-06-01,183.1
city,Wichita,walking,NA,Kansas,United States,2020-06-02,169.16
city,Wichita,walking,NA,Kansas,United States,2020-06-03,178.35
city,Wichita,walking,NA,Kansas,United States,2020-06-04,182.17
city,Wichita,walking,NA,Kansas,United States,2020-06-05,210.69
city,Wichita,walking,NA,Kansas,United States,2020-06-06,232.57
city,Wichita,walking,NA,Kansas,United States,2020-06-07,141.3
city,Wichita,walking,NA,Kansas,United States,2020-06-08,191.55
city,Wichita,walking,NA,Kansas,United States,2020-06-09,183.29
city,Wichita,walking,NA,Kansas,United States,2020-06-10,191.08
city,Wichita,walking,NA,Kansas,United States,2020-06-11,188.27
city,Wichita,walking,NA,Kansas,United States,2020-06-12,238.32
city,Wichita,walking,NA,Kansas,United States,2020-06-13,238.94
city,Wichita,walking,NA,Kansas,United States,2020-06-14,148.44
city,Wichita,walking,NA,Kansas,United States,2020-06-15,176.53
city,Wichita,walking,NA,Kansas,United States,2020-06-16,175.8
city,Wichita,walking,NA,Kansas,United States,2020-06-17,186.22
city,Wichita,walking,NA,Kansas,United States,2020-06-18,202.32
city,Wichita,walking,NA,Kansas,United States,2020-06-19,225.16
city,Wichita,walking,NA,Kansas,United States,2020-06-20,254.84
city,Wichita,walking,NA,Kansas,United States,2020-06-21,140.14
city,Wichita,walking,NA,Kansas,United States,2020-06-22,187.69
city,Wichita,walking,NA,Kansas,United States,2020-06-23,203.94
city,Wichita,walking,NA,Kansas,United States,2020-06-24,211.23
city,Wichita,walking,NA,Kansas,United States,2020-06-25,227.17
city,Wichita,walking,NA,Kansas,United States,2020-06-26,263.95
